"ID","Player","Team","Position","RkOv","Status","Opponent","Score","Ros %","+/-","GP","MIN","FGA","FG%","3PTM","3PT%","FTA","FT%","PTS","REB","AST","ST","BLK","TO","PF"
"*03ad0*","Tyus Jones","MEM","PG","101","FA","@DAL<br/>Sat 8:30PM","60.5","40%","+40.3%","2","23.4","14.5",".345","3.0",".400","1.0",".000","13.0","4.0","3.5","0.5","0.0","0.5","0.0"
"*04qrn*","Mikal Bridges","PHO","SG,SF","102","DOBB","","60.21","98%","+98.1%","2","39.4","10.0",".550","0.0",".000","3.0",".667","13.0","9.0","3.5","0.5","0.5","2.5","4.0"
"*051pn*","Jaylen Nowell","MIN","SG","103","FA","","60.15","28%","+28.1%","2","18.9","12.5",".520","2.0",".400","1.0",".500","15.5","2.5","2.5","0.5","0.0","0.0","2.5"
"*031m0*","Kelly Olynyk","UTA","C","104","MPJ","","59.61","73%","+73.1%","2","24.8","9.5",".579","3.5",".778","0.0","0","14.5","1.5","2.0","2.0","0.5","3.5","5.5"
"*01eog*","Patty Mills","BKN","PG","105","FA","","59.48","22%","+21.6%","2","16.9","7.5",".467","3.0",".462","3.0","1.000","13.0","0.5","0.0","0.0","0.0","0.0","0.0"
"*051ok*","De'Andre Hunter","ATL","SF,PF","106","FA","","59.25","74%","+74.3%","2","32.3","13.5",".556","1.0",".333","1.5",".667","17.0","4.5","1.0","0.5","0.0","0.5","3.0"
"*05uii*","Franz Wagner","ORL","SF,PF","107","BNH","BOS<br/>Sat 7:00PM","58.92","99%","+99.5%","2","34.9","14.0",".429","1.0",".222","1.0","1.000","14.0","5.5","4.0","2.0","0.0","4.0","2.5"
"*049kb*","De'Aaron Fox","SAC","PG","108","JR","LAC<br/>Sat 10:00PM","58.88","100%","+99.8%","1","35.1","21.0",".571","5.0",".556","5.0",".800","33.0","7.0","7.0","2.0","0.0","8.0","5.0"
"*03al0*","Aaron Gordon","DEN","SF,PF","109","FA","OKC<br/>Sat 9:00PM","58.76","92%","+91.9%","2","30.9","14.5",".517","0.0",".000","1.0","1.000","16.0","6.5","2.5","0.5","0.5","2.0","1.0"
"*03nwq*","Christian Wood","DAL","PF,C","110","HUGG","MEM<br/>Sat 8:30PM","58.11","100%","+99.8%","1","24.3","15.0",".600","4.0",".571","10.0",".300","25.0","8.0","2.0","0.0","1.0","1.0","2.0"
